Stt|Mã môn học|Tên môn học|Giáo viên nhập|Tên sách|Tác giả|Năm xb|Nơi xb/ Nhà xb|Ghi chú tài liệu|Tình trạng|Nơi lưu trữ|Tên sách đề nghị kiểm tra hoặc thay thế
449|CNTY26902|Thao tác nghề cơ bản trong chăn nuôi thú y|Vũ Duy Giảng, Nguyễn Xuân Bả, Lê Đức Ngoan, Nguyễn Xuân Trạch, Vũ Chí Cương, Nguyễn Hữu Văn (2008), Dinh dưỡng và thức ăn cho bò, NXB Nông nghiệp, Hà Nội. TTTTTV.|Dinh dưỡng và thức ăn cho bò|Vũ Duy Giảng, Nguyễn Xuân Bả, Lê Đức Ngoan, Nguyễn Xuân Trạch, Vũ Chí Cương, Nguyễn Hữu Văn |2008|NXB Nông nghiệp, Hà Nội.|tk|Đã có|TTTT-TV|
450|CNTY26902|Thao tác nghề cơ bản trong chăn nuôi thú y|Lê Đức Ngoan, Dư Thanh Hằng (2014), Giáo trình dinh dưỡng vật nuôi, Nhà xuất bản Đại học Huế, Huế. TTTTTV.|Giáo trình dinh dưỡng vật nuôi,| Lê Đức Ngoan, Dư Thanh Hằng |2014| Nhà xuất bản Đại học Huế, Huế. |tk|Đã có|TTTT-TV|
451|CNTY26902|Thao tác nghề cơ bản trong chăn nuôi thú y|Trần Sáng Tạo (2012) Giáo trình sinh lý động vật, Nhà xuất bản Đại học Huế, Huế. TTTTTV.|Giáo trình sinh lý động vật|Trần Sáng Tạo|2012|Nhà xuất bản Đại học Huế, Huế.|tk|Đã có|TTTT-TV|
452|CNTY27203|Thức ăn chăn nuôi|Lê Văn An, 1995. Bài giảng Đồng cỏ và Cây thức ăn gia súc.|Bài giảng Đồng cỏ và Cây thức ăn gia súc.|Lê Văn An,|1995||bb|Đang bổ sung|Khoa/ BM|
453|CNTY27203|Thức ăn chăn nuôi|Lê Đức Ngoan- Nguyễn Thị Hoa Lý - Dư Thanh Hằng. Giáo trình Thức ăn gia súc.Nhà xuất bản nông nghiệp. Hà nội 2005.|Giáo trình Thức ăn gia súc.|Lê Đức Ngoan- Nguyễn Thị Hoa Lý - Dư Thanh Hằng.|2005|Nhà xuất bản nông nghiệp.  Hà nội |bb|Đã có|TTTT-TV|
454|CNTY27203|Thức ăn chăn nuôi|L’t Mannetje: Measure of Grassland Vegetation and Animal Production. Commonwealth agricultural Bureaux, 1978.|Measure of Grassland Vegetation and Animal Production. Commonwealth agricultural Bureaux,|L’t Mannetje|1978||tk|Đổi tài liệu|Không có|
455|CNTY27203|Thức ăn chăn nuôi|Viện Chăn nuôi quốc gia. Thành phần hóa và giá trị dinh dưỡng thức ăn gia súc gia cầm Việt nam. Nhà xuất bản nông nghiệp. Hà nội 2001.|Thành phần hóa và giá trị dinh dưỡng thức ăn gia súc gia cầm Việt nam.|Viện Chăn nuôi quốc gia|2001|Nhà xuất bản nông nghiệp.  Hà nội |tk|Đổi tài liệu|Không có|
456|CNTY27203|Thức ăn chăn nuôi|L.V.Crowder & H.R Chheda, 1982. Tropical Grassland Husbandry. Published in the United State of America by Longman inc, New York, 1982.|Tropical Grassland Husbandry. Published in the United State of America by Longman inc,|L.V.Crowder & H.R Chheda|1982| New York, |tk|Đổi tài liệu|Không có|
457|CNTY27203|Thức ăn chăn nuôi|P.C Whiteman: Tropical Pasture Science, 1980. Oxford University press, 1980.|Tropical Pasture Science,|P.C Whiteman|1980|Oxford University press|tk|Đổi tài liệu|Không có|
458|CNTY27504|Thực tế nghề thú y 1|Vũ Văn Hải, Bài giảng chẩn đoán lâm sàng thú y, 2014.|Bài giảng chẩn đoán lâm sàng thú y|Vũ Văn Hải|2014||bb|Đang bổ sung|Khoa/ BM|
459|CNTY27504|Thực tế nghề thú y 1|Phạm Sĩ Lăng, Nguyễn Bá Hiên, Lê Thị Thịnh (2007), Sổ tay thầy thuốc thú y, NXB Nông nghiệp,Hà Nội. TTTTTV|Sổ tay thầy thuốc thú y|Phạm Sĩ Lăng, Nguyễn Bá Hiên, Lê Thị Thịnh|2007|NXB Nông nghiệp,Hà Nội. |tk|Đã có|TTTT-TV|
460|CNTY27604|Thực tế nghề thú y 2|Vũ Văn Hải, Bài giảng chẩn đoán lâm sàng thú y, 2014.|Bài giảng chẩn đoán lâm sàng thú y,|Vũ Văn Hải,|2014||bb|Đang bổ sung|Khoa/ BM|
461|CNTY27604|Thực tế nghề thú y 3|Phạm Sĩ Lăng, Nguyễn Bá Hiên, Lê Thị Thịnh (2007), Sổ tay thầy thuốc thú y, NXB Nông nghiệp,Hà Nội. TTTTTV|Sổ tay thầy thuốc thú y|Phạm Sĩ Lăng, Nguyễn Bá Hiên, Lê Thị Thịnh|2007|NXB Nông nghiệp,Hà Nội.|tk|Đã có|TTTT-TV|
462|CNTY27704|Vi sinh vật học thú y|Phạm Hồng Sơn (2012), Giáo trình Vi sinh vật học đại cương, Nhà xuất bản Đại học Huế, Huế. Khoa CNTY. Thư viện trường ĐH Nông Lâm Huế: ID 3697.|Giáo trình Vi sinh vật học đại cương,| Phạm Hồng Sơn|2012|Nhà xuất bản Đại học Huế, Huế. |bb|Đã có|TTTT-TV|
463|CNTY27704|Vi sinh vật học thú y|Phạm Hồng Sơn (2012), Giáo trình Vi sinh vật học thú y, Nhà xuất bản Đại học Huế, Huế. Khoa CNTY. Thư viện trường ĐH Nông Lâm Huế: ID 7215.|Giáo trình Vi sinh vật học thú y|  Phạm Hồng Sơn|2012| Nhà xuất bản Đại học Huế, Huế.|bb|Đã có|TTTT-TV|
464|CNTY27704|Vi sinh vật học thú y|Phạm Hồng Sơn (2012), Giáo trình Bệnh truyền nhiễm thú y (phần đại cương), Nhà xuất bản Đại học Huế, Huế. Khoa CNTY. Thư viện trường ĐH Nông Lâm Huế: ID 110.|Giáo trình Bệnh truyền nhiễm thú y (phần đại cương),| Phạm Hồng Sơn|2012|Nhà xuất bản Đại học Huế, Huế.|tk|Phải nộp hoặc đặt mua|Khoa/ BM|TTTT-TV - 2006
465|CNTY27704|Vi sinh vật học thú y|Phạm Hồng Sơn (2012), Giáo trình Vi sinh vật học chăn nuôi, Nhà xuất bản Đại học Huế, Huế. Khoa CNTY. Thư viện trường ĐH Nông Lâm Huế: ID 3702.|Giáo trình Vi sinh vật học chăn nuôi| Phạm Hồng Sơn|2012| Nhà xuất bản Đại học Huế, Huế.|tk|Đã có|TTTT-TV|
466|CNTY27704|Vi sinh vật học thú y|Nguyễn Bá Hiên (2009), Vi sinh vật bệnh truyền nhiễm vật nuôi, Nhà xuất bản Giáo dục Việt Nam, Hà Nội. Thư viện trường ĐH Nông Lâm Huế: ID 8519.|Vi sinh vật bệnh truyền nhiễm vật nuôi|  Nguyễn Bá Hiên|2009| Nhà xuất bản Giáo dục Việt Nam, Hà Nội.|tk|Đã có|TTTT-TV|
467|CNTY27803|Vi sinh vật trong chăn nuôi|Nguyễn Xuân Hòa (2018). Bài giảng vi sinh vật trong chăn nuôi ( lưu trữ bộ bộ môn)|Bài giảng vi sinh vật trong chăn nuôi|Nguyễn Xuân Hòa|2018||bb|Đang bổ sung|Khoa/ BM|
468|CNTY27803|Vi sinh vật trong chăn nuôi|Phạm Hồng Sơn (2012), Giáo trình Vi sinh vật học chăn nuôi, Nhà xuất bản Đại học Huế, Huế. Khoa CNTY. Thư viện trường ĐH Nông Lâm Huế: ID 3702.|Giáo trình Vi sinh vật học chăn nuôi|Phạm Hồng Sơn |2012|Nhà xuất bản Đại học Huế, Huế.|bb|Đã có|TTTT-TV|
469|CNTY27803|Vi sinh vật trong chăn nuôi|Phạm Hồng Sơn (2012), Giáo trình Vi sinh vật học đại cương, Nhà xuất bản Đại học Huế, Huế. Khoa CNTY. Thư viện trường ĐH Nông Lâm Huế: ID 3697.|Giáo trình Vi sinh vật học đại cương,|Phạm Hồng Sơn|2012|Nhà xuất bản Đại học Huế, Huế. |bb|Đã có|TTTT-TV|
470|CNTY27803|Vi sinh vật trong chăn nuôi|Phạm Hồng Sơn (2012), Giáo trình Vi sinh vật học thú y, Nhà xuất bản Đại học Huế, Huế. Khoa CNTY. Thư viện trường ĐH Nông Lâm Huế: ID 7215.|Giáo trình Vi sinh vật học thú y|  Phạm Hồng Sơn |2012|Nhà xuất bản Đại học Huế, Huế.|tk|Đã có|TTTT-TV|
471|CNTY27803|Vi sinh vật trong chăn nuôi|Nguyễn Hiền Trang (2017), Giáo trình vi sinh vật thực phẩm, Nhà xuất bản Đại học Huế. NL.041661.|Giáo trình vi sinh vật thực phẩm|      Nguyễn Hiền Trang |2017|Nhà xuất bản Đại học Huế. |tk|Đã có|TTTT-TV|
472|CNTY27803|Vi sinh vật trong chăn nuôi|Nguyễn Bá Hiên (2009), Vi sinh vật bệnh truyền nhiễm vật nuôi, Nhà xuất bản Giáo dục Việt Nam, Hà Nội. Thư viện trường ĐH Nông Lâm Huế: ID 8519.|Vi sinh vật bệnh truyền nhiễm vật nuôi|       Nguyễn Bá Hiên|2009| Nhà xuất bản Giáo dục Việt Nam, Hà Nội. |tk|Đã có|TTTT-TV|
473|CNTY27902|Luật thú y|Luật Thú y, 2015. Luật số 79/2015/QH13, ngày 19 tháng 6 năm 2015|Luật Thú y. Luật số 79/2015/QH13, ngày 19 tháng 6 năm 2015||2015||bb|Đã có|TTTT-TV|
474|CNTY27902|Luật thú y|Nghị định Quy định chi tiết một số điều của Luật thú y. Nghị định số 35/2016/NĐ-CP ngày 15 tháng 5 năm 2016|Nghị định Quy định chi tiết một số điều của Luật thú y, 2016. Nghị định số 35/2016/NĐ-CP ngày 15 tháng 5 năm 2016||2016||bb|internet|Internet|
475|CNTY27902|Luật thú y|Nghị định xử phạt vi phạm hành chính trong lĩnh vực thú y, giống vật nuôi, thức ăn chăn nuôi, 2013. Nghị định số 119/2013/NĐ-CP, ngày 09 tháng 10 năm 2013|Nghị định xử phạt vi phạm hành chính trong lĩnh vực thú y, giống vật nuôi, thức ăn chăn nuôi, . Nghị định số 119/2013/NĐ-CP, ngày 09 tháng 10 năm 2013||2013||bb|internet|Internet|
476|CNTY27902|Luật thú y|Thông tư số 07/2016/TT-BNNPTNT: Quy định về phòng, chống dịch bệnh động vật trên cạn|||||tk|internet|Internet|
477|CNTY27902|Luật thú y|Thông tư số 09/2016/TT-BNNPTNT: Quy định về kiểm soát giết mổ và kiểm tra vệ sinh thú y|||||tk|internet|Internet|
478|CNTY27902|Luật thú y|Thông tư số 10/2016/ TT-BNNPTNT: Danh mục thuốc thú y cấm sử dụng|||||tk|internet|Internet|
479|CNTY27902|Luật thú y|Thông tư số 13/2016/TT-BNNPTNT: Quy định về quản lý thuốc thú y |||||tk|internet|Internet|
480|CNTY27902|Luật thú y|Thông tư số 14/2016/TT-BNNPTNT: Quy định về vùng, cơ sở an toàn dịch bệnh động vật |||||tk|Internet|Internet|
481|CNTY27902|Luật thú y|Thông tư số 25/2016/TT-BNNPTNT: Quy định về kiểm dịch động vật, sản phẩm động vật trên cạn|||||tk|Internet|Internet|
482|CNTY27902|Luật thú y|Thông tư số 29/2016/TT-BNNPTNT: Quy định tiêu chuẩn đối với nhân viên thú y xã, phường, thị trấn|||||tk|Internet|Internet|
483|CTR 1053|Đường lối cách mạng của Đảng cộng sản Việt Nam|Giáo trình Đường lối cách mạng của Đảng Cộng sản Việt Nam” (Bộ giáo dục và đào tạo, NXB Chính trị Quốc gia. Hà nội, 2012).|Giáo trình Đường lối cách mạng của Đảng Cộng sản Việt Nam|Bộ giáo dục và đào tạo|2012|NXB Chính trị Quốc gia. Hà nội|ht|Đã có|TTTT-TV|
484|CTR 1053|Đường lối cách mạng của Đảng cộng sản Việt Nam|Giáo trình lịch sử Đảng Cộng sản Việt Nam (chuyên đề): Dương Quang Nay - Nguyễn Minh Hiền. Trung tâm đào tạo từ xa, Huế, 2003.|Giáo trình lịch sử Đảng Cộng sản Việt Nam (chuyên đề):| Dương Quang Nay Nguyễn Minh Hiền.|2003|Trung tâm đào tạo từ xa, Huế|ht|Đổi tài liệu|Không có|
485|CTR 1053|Đường lối cách mạng của Đảng cộng sản Việt Nam|Hồ Chí Minh toàn tập, nhà xuất bản Chính trị Quốc gia. Hà nội, 2001.|Hồ Chí Minh toàn tập||2001|Nhà xuất bản Chính trị Quốc gia. Hà nội|ht|Đã có|TTTT-TV|
486|CTR 1053|Đường lối cách mạng của Đảng cộng sản Việt Nam|Ban chỉ đạo tổng kết chiến tranh trực thuộc Bộ chính trị: Tổng kết cuộc kháng chiến chống Mỹ, cứu nước, thắng lợi và bài học, nhà xuất bản Chính trị Quốc gia. Hà nội, 1995.|Tổng kết cuộc kháng chiến chống Mỹ, cứu nước, thắng lợi và bài học|Ban chỉ đạo tổng kết chiến tranh trực thuộc Bộ chính trị: |1995|Nhà xuất bản Chính trị Quốc gia. Hà nội|ht|Đổi tài liệu|Không có|
487|CTR 1053|Đường lối cách mạng của Đảng cộng sản Việt Nam|Ban chỉ đạo tổng kết chiến tranh trực thuộc Bộ chính trị: Tổng kết cuộc kháng chiến chống thực dân Pháp, thắng lợi và bài học, nhà xuất bản Chính trị Quốc gia. Hà nội, 1996.|Tổng kết cuộc kháng chiến chống thực dân Pháp, thắng lợi và bài học|Ban chỉ đạo tổng kết chiến tranh trực thuộc Bộ chính trị: |1996|Nhà xuất bản Chính trị Quốc gia. Hà nội|ht|Đổi tài liệu|Không có|
488|CTR 1053|Đường lối cách mạng của Đảng cộng sản Việt Nam|Văn kiện Đảng toàn tập, nhà xuất bản Chính trị Quốc gia. Hà nội, 1995.|Văn kiện Đảng toàn tập||1995|Nhà xuất bản Chính trị Quốc gia. Hà nội|ht|Đã có|TTTT-TV|
489|CTR1012|Những nguyên lý cơ bản của chủ nghĩa Mác-Lênin 1|Bộ Giáo dục và Đào tạo (2009), Giáo trình Những nguyên lý cơ bản của chủ nghĩa Mác - Lênin, Nxb Chính trị Quốc gia, Hà Nội.|Giáo trình Những nguyên lý cơ bản của chủ nghĩa Mác - Lênin|Bộ Giáo dục và Đào tạo|2009|Nxb Chính trị Quốc gia, Hà Nội.|ht|Đã có|TTTT-TV|
490|CTR1012|Những nguyên lý cơ bản của chủ nghĩa Mác-Lênin 1|Bộ Giáo dục và Đào tạo (2007), Giáo trình Triết học Mác - Lênin, Nxb Chính trị Quốc gia, Hà Nội.|Giáo trình Triết học Mác - Lênin|Bộ Giáo dục và Đào tạo|2007|Nxb Chính trị Quốc gia, Hà Nội.|ht|Đã có|TTTT-TV|TTTT-TV - 2012
491|CTR1012|Những nguyên lý cơ bản của chủ nghĩa Mác-Lênin 1|Bộ Giáo dục và Đào tạo (2007), Giáo trình Triết học Mác - Lênin, Nxb Chính trị Quốc gia, Hà Nội.|Giáo trình Triết học Mác - Lênin|Bộ Giáo dục và Đào tạo|2007|Nxb Chính trị Quốc gia, Hà Nội.|ht|Đã có|TTTT-TV|TTTT-TV - 2012
492|CTR1013|Những nguyên lý cơ bản của chủ nghĩa Mác-Lênin 2|Bộ giáo dục và đào tạo, Giáo trình Chủ nghĩa xã hội khoa học, Nxb Chính trị Quốc gia, Hà Nội 2007.|Giáo trình Chủ nghĩa xã hội khoa học|Bộ Giáo dục và Đào tạo|2007|Nxb Chính trị Quốc gia, Hà Nội.|ht|Đặt mua|Không có|TTTT-TV - 2004
493|CTR1013|Những nguyên lý cơ bản của chủ nghĩa Mác-Lênin 2|Bộ giáo dục và đào tạo, Giáo trình Kinh tế chính trị Mác – Lênin, Nxb Chính trị Quốc gia, Hà Nội 2007.|Giáo trình Kinh tế chính trị Mác – Lênin|Bộ Giáo dục và Đào tạo|2007|Nxb Chính trị Quốc gia, Hà Nội.|ht|Đã có|TTTT-TV|
494|CTR1013|Những nguyên lý cơ bản của chủ nghĩa Mác-Lênin 2|Bộ giáo dục và đào tạo, Giáo trình những nguyên lý cơ bản của chủ nghĩa Mác – Lênin ,Hà Nội, 2011.|Giáo trình những nguyên lý cơ bản của chủ nghĩa Mác – Lênin|Bộ Giáo dục và Đào tạo|2011|Hà Nội|ht|Đã có|TTTT-TV|
495|CTR1013|Những nguyên lý cơ bản của chủ nghĩa Mác-Lênin 2|Bộ giáo dục và Đào tạo, Giáo trình Triết học Mác – Lênin, Nxb Chính trị Quốc gia, Hà Nội 2007.|Giáo trình Triết học Mác – Lênin|Bộ Giáo dục và Đào tạo|2007|Nxb Chính trị Quốc gia, Hà Nội.|ht|Đã có|TTTT-TV|TTTT-TV - 2012
496|CTR1016|Những nguyên lý cơ bản của chủ nghĩa Mác Lênin 1|Bộ Giáo dục và Đào tạo (2009), Giáo trình Những nguyên lý cơ bản của chủ nghĩa Mác - Lênin, Nxb Chính trị Quốc gia, Hà Nội.|Giáo trình Những nguyên lý cơ bản của chủ nghĩa Mác - Lênin|Bộ Giáo dục và Đào tạo|2009|Nxb Chính trị Quốc gia, Hà Nội.|ht|Đã có|TTTT-TV|
497|CTR1016|Những nguyên lý cơ bản của chủ nghĩa Mác Lênin 1|Bộ Giáo dục và Đào tạo (2007), Giáo trình Triết học Mác - Lênin, Nxb Chính trị Quốc gia, Hà Nội.|Giáo trình Triết học Mác - Lênin|Bộ Giáo dục và Đào tạo|2007|Nxb Chính trị Quốc gia, Hà Nội.|ht|Đã có|TTTT-TV|TTTT-TV - 2012
498|CTR1017|Những nguyên lý cơ bản của chủ nghĩa Mác-Lênin 2|Bộ giáo dục và đào tạo, Giáo trình Chủ nghĩa xã hội khoa học, Nxb Chính trị Quốc gia, Hà Nội 2007.|Giáo trình Chủ nghĩa xã hội khoa học|Bộ giáo dục và đào tạo|2007|Chính trị Quốc gia, Hà Nội|ht|Đặt mua|Không có|TTTT-TV - 2004
499|CTR1017|Những nguyên lý cơ bản của chủ nghĩa Mác-Lênin 2|Bộ giáo dục và đào tạo, Giáo trình Kinh tế chính trị Mác – Lênin, Nxb Chính trị Quốc gia, Hà Nội 2007.|Giáo trình Kinh tế chính trị Mác – Lênin|Bộ giáo dục và đào tạo|2007|Chính trị Quốc gia, Hà Nội|ht|Đã có|TTTT-TV|
500|CTR1017|Những nguyên lý cơ bản của chủ nghĩa Mác-Lênin 2|Bộ giáo dục và đào tạo, Giáo trình những nguyên lý cơ bản của chủ nghĩa Mác – Lênin ,Hà Nội, 2011.|Giáo trình những nguyên lý cơ bản của chủ nghĩa Mác – Lênin|Bộ giáo dục và đào tạo|2011|Bộ giáo dục và đào tạo Hà Nội|ht|Đã có|TTTT-TV|TTTTTV-2016
501|CTR1017|Những nguyên lý cơ bản của chủ nghĩa Mác-Lênin 1|Bộ Giáo dục và Đào tạo (2007), Giáo trình Triết học Mác - Lênin, Nxb Chính trị Quốc gia, Hà Nội.|Giáo trình Triết học Mác - Lênin| Bộ Giáo dục và Đào tạo|2007|Nxb Chính trị Quốc gia, Hà Nội|ht|Đã có|TTTT-TV|TTTT-TV - 2012
502|CTR1022|Tư tưởng Hồ Chí Minh|Hội đồng Trung ương chỉ đạo biên soạn Giáo trình quốc gia các bộ môn khoa học Mác – Lênin, tư tưởng Hồ Chí Minh: Giáo trình Tư tưởng Hồ Chí Minh, Nxb. Chính trị quốc gia, Hà Nội. 2003|Giáo trình Tư tưởng Hồ Chí Minh|Hội đồng Trung ương chỉ đạo biên soạn Giáo trình quốc gia các bộ môn khoa học Mác – Lênin, tư tưởng Hồ Chí Minh:|2003|Nxb. Chính trị quốc gia, Hà Nội|ht|Đã có|TTTT-TV|
503|CTR1022|Tư tưởng Hồ Chí Minh|Bộ Giáo dục và đào tạo: Giáo trình Tư tưởng Hồ Chí Minh(Dành cho sinh viên đại học, cao đẳng khối không chuyên ngành Mác – Lênin, tư tưởng Hồ Chí Minh), Nxb. Chính trị quốc gia, Hà Nội. 2009|Giáo trình Tư tưởng Hồ Chí Minh(Dành cho sinh viên đại học, cao đẳng khối không chuyên ngành Mác – Lênin, tư tưởng Hồ Chí Minh)|Bộ Giáo dục và đào tạo|2009|Nxb. Chính trị quốc gia, Hà Nội|ht|Đã có|TTTT-TV|
504|CTR1022|Tư tưởng Hồ Chí Minh|Bộ Giáo dục và đào tạo: Giáo trình Tư tưởng Hồ Chí Minh(Dành cho sinh viên đại học, cao đẳng khối không chuyên ngành Mác – Lênin, tư tưởng Hồ Chí Minh) – tái bản có sửa chữa, bổ sung, Nxb. Chính trị quốc gia, Hà Nội. 2011|Giáo trình Tư tưởng Hồ Chí Minh(Dành cho sinh viên đại học, cao đẳng khối không chuyên ngành Mác – Lênin, tư tưởng Hồ Chí Minh) – tái bản có sửa chữa, bổ sung|Bộ giáo dục và đào tạo|2011|Nxb. Chính trị quốc gia, Hà Nội.|ht|Đã có|TTTT-TV|
505|CTR1022|Tư tưởng Hồ Chí Minh|Nguyễn Thế Phúc – Phạm Ngọc Anh: Hướng dẫn học tập môn Tư tưởng Hồ Chí Minh, Nxb. Chính trị quốc gia, Hà Nội. 2012|Hướng dẫn học tập môn Tư tưởng Hồ Chí Minh|Nguyễn Thế Phúc – Phạm Ngọc Anh|2012|Nxb. Chính trị quốc gia, Hà Nội|ht|Đặt mua|Không có|
506|CTR1033|Đường lối cách mạng của Đảng Cộng sản Việt Nam|Giáo trình Đường lối cách mạng của Đảng Cộng sản Việt Nam” (Bộ giáo dục và đào tạo, NXB Chính trị Quốc gia. Hà nội, 2012).|Giáo trình Đường lối cách mạng của Đảng Cộng sản Việt Nam|Bộ Giáo dục và đào tạo|2012|Nxb. Chính trị quốc gia, Hà Nội|Bb|Đã có|TTTT-TV|TTTT-TV - 2016
